"Station notes: approx offset 0.170m, breakpoint at 0.386m, surveyed on 2023-07-26",,,,
datetime,stage,discharge,Uncertainty,Comments
2024-01-26 11:16:54,0.502,0.341,0.064,"clear, control submerged, wading MMT 24 panels, max 6.4%"
2023-10-13 11:30:00,0.198,0.005,,"clear, section control, Volumetric bucket MMT x3"
2023-08-14 14:07:05,0.184,0.002,0.17,"clear, section control, wading MMT 13 panels, min spacing, max 18.9%"
2023-08-14 13:18:22,0.184,0.002,,"clear, section control, Volumetric bucket MMT x3"
2023-07-26 12:57:30,0.186,0.003,,"clear, section control, Volumetric bucket MMT x3, approx offset 0.170m, breakpoint at 0.386m"
2023-05-26 13:02:30,0.198,0.005,,"clear, section control, Volumetric bucket MMT x3"
2023-04-19 13:51:15,0.297,0.039,0.136,"clear, section control, wading MMT 20 panels, min spacing, max 11.9%"
2023-03-03 15:42:40,0.442,0.162,0.074,"clear, control submerged, wading MMT 24 panels, max 9.2%"
2023-02-12 15:15:00,0.368,0.067,0.074,"clear, control almost submerged, wading MMT 17 panels, max 11.9%"
2022-11-04 13:00:00,0.24,0.017,0.16,"clear, section control, Volumetric bucket MMT x3"
2022-10-01 10:00,0.285,0.002,,"debris at outlet (cleared), section control, volumetric bucket MMT x5"
2022-09-19 16:00:00,0.188,0.003,0.16,"clear, section control, Volumetric bucket MMT x3"
2022-08-17 10:00:00,0.19,0.003,0.1,"clear, section control, Volumetric bucket MMT x4"
2017-11-27 13:30:00,0.54,0.46,0.72,"clear, control submerged, wading MMT 25 panels, max 6.3%"
2014-12-19 11:30:00,0.498,0.288,,"clear, control submerged, wading MMT 21 panels, max 10.5%"
2014-02-17 13:00:00,0.658,1.06,0.16,"clear, control submerged, panels unknown"
